run_count,Left Power,Right Power,L Current,R Current,L Voltage,R Voltage,L Speed,R Speed
33,-0.05,-0.2,-0.08,1.87,-0.13010752688172,-1.91104594330401,-0.204697986577181,0.62841163310962
34,0.05,0.25,-0.07,2.6,0.128494623655914,2.51774193548387,0.19261744966443,-0.852796420581655
35,-0.05,-0.25,-0.08,2.07,-0.129032258064516,-2.55043988269795,-0.202237136465324,0.884116331096197
36,0.05,0.3,-0.08,3.1,0.125268817204301,3.0217008797654,0.196196868008949,-1.06532438478747
37,-0.05,-0.3,-0.06,2.63,-0.125268817204301,-3.04868035190616,-0.193288590604027,1.08814317673378
38,0.05,0.35,-0.05,2.96,0.124731182795699,3.65620723362659,0.176062639821029,-1.33825503355705
39,-0.05,-0.35,-0.07,3.6,-0.12258064516129,-3.57531769305963,-0.180536912751678,1.28501118568233
40,0.05,0.4,-0.01,4.01,0.123655913978495,4.16656891495601,0.057046979865772,-1.52639821029083
41,-0.05,-0.4,-0.01,4.31,-0.121505376344086,-4.11026392961877,-0.138255033557047,1.48993288590604
42,0.05,0.45,0,4.67,0.12258064516129,4.67756598240469,0.018791946308725,-1.73422818791946
43,-0.05,-0.45,-0.03,4.93,-0.120967741935484,-4.63484848484849,-0.156823266219239,1.71431767337808
44,0.05,0.5,0.03,5.53,0.121505376344086,5.22091886608016,-0.035570469798658,-1.9407158836689
45,-0.05,-0.5,-0.02,5.6,-0.122043010752688,-5.26881720430108,-0.124832214765101,1.94474272930649
46,0.05,0.55,0.03,8.5,0.12258064516129,5.81217008797654,-0.038031319910515,-2.11498881431767
47,-0.05,-0.55,0,5.53,-0.12258064516129,-5.86524926686217,-0.048545861297539,2.19910514541387
48,0.1,0,0.53,0,0.772629521016618,0,0.18165548098434,-0.038031319910515
49,-0.1,0,0.67,0,-0.775757575757576,0,-0.162863534675615,0.050559284116331
50,0.1,0.05,0.34,-0.02,0.778885630498534,0.133333333333333,0.212304250559284,-0.153467561521253
51,-0.1,-0.05,0.39,-0.03,-0.778885630498534,-0.133333333333333,-0.206935123042506,0.159060402684564
52,0.1,0.1,0.07,0.09,0.778885630498534,0.778885630498534,0.308501118568233,-0.306711409395973
53,-0.1,-0.1,0.12,0.12,-0.778885630498534,-0.778885630498534,-0.265771812080537,0.27337807606264
54,0.1,0.15,-0.17,0.69,0.772629521016618,1.37243401759531,0.366890380313199,-0.460178970917226
55,-0.1,-0.15,-0.14,0.77,-0.76950146627566,-1.36671554252199,-0.359507829977629,0.451901565995526
56,0.1,0.2,-0.27,1.49,0.763245356793744,1.94428152492669,0.427740492170022,-0.666666666666667
57,-0.1,-0.2,-0.24,1.39,-0.763245356793744,-1.94428152492669,-0.419910514541387,0.67337807606264
